ticker,name,Sector,SubIndustry,Address,tech
HOT,Starwood Hotels & Resorts,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","White Plains, New York",0
HP,Helmerich & Payne,Energy,Oil & Gas Drilling,"Tulsa, Oklahoma[4]",0
HPQ,Hewlett-Packard,Information Technology,Computer Hardware,"Palo Alto, California",0
HRB,Block H&R,Financials,Consumer Finance,"Kansas City, Missouri",0
HRL,Hormel Foods Corp.,Consumer Staples,Packaged Foods & Meats,"Austin, Minnesota",0
HRS,Harris Corporation,Information Technology,Telecommunications Equipment,"Melbourne, Florida",1
HSP,Hospira Inc.,Health Care,Health Care Equipment & Services,"Lake Forest, Illinois",0
HST,Host Hotels & Resorts,Financials,REITs,"Bethesda, Maryland",0
HSY,The Hershey Company,Consumer Staples,Packaged Foods & Meats,"Hershey, Pennsylvania",0
HUM,Humana Inc.,Health Care,Managed Health Care,"Louisville, Kentucky",0
IBM,International Bus. Machines,Information Technology,IT Consulting & Services,"Armonk, New York",1
ICE,IntercontinentalExchange Inc.,Financials,Diversified Financial Services,"Atlanta, Georgia",0
IFF,Intl Flavors & Fragrances,Materials,Specialty Chemicals,"New York, New York",0
IGT,International Game Technology,Consumer Discretionary,Leisure Products,"Reno, Nevada",0
INTC,Intel Corp.,Information Technology,Semiconductors,"Santa Clara, California",0
INTU,Intuit Inc.,Information Technology,Internet Software & Services,"Mountain View, California",1
IP,International Paper,Materials,Paper Products,"Memphis, Tennessee",0
IPG,Interpublic Group,Consumer Discretionary,Advertising,"New York, New York",0
IR,Ingersoll-Rand PLC,Industrials,Industrial Conglomerates,"Dublin, Ireland",0
IRM,Iron Mountain Incorporated,Industrials,Data Processing Services,"Boston, Massachusetts",0
ISRG,Intuitive Surgical Inc.,Health Care,Health Care Equipment & Services,"Sunnyvale, California",0
ITW,Illinois Tool Works,Industrials,Industrial Machinery,"Glenview, Illinois",0
IVZ,Invesco Ltd.,Financials,Diversified Financial Services,"Atlanta, Georgia",0
JBL,Jabil Circuit,Information Technology,IT Consulting & Services,"St. Petersburg, Florida",1
JCI,Johnson Controls,Consumer Discretionary,Auto Parts & Equipment,"Milwaukee, Wisconsin",0
JCP,Penney (J.C.),Consumer Discretionary,Department Stores,"Plano, Texas",0
JDSU,JDS Uniphase Corp.,Information Technology,Telecommunications Equipment,"Milpitas, California",1
